year,month,transfer_efficiency_ratio,discharge_effectiveness_index,pipeline_throughput_rate,backlog_accumulation_rate,outcome_stability_score,transfer_efficiency_ratio_mom_change,discharge_effectiveness_index_mom_change,pipeline_throughput_rate_mom_change,backlog_accumulation_rate_mom_change,outcome_stability_score_mom_change,month_name
2024,9,0.985423990654241,0.027029271751451246,0.05507780340528738,-41.31818181818182,0.005603383148824004,0.0035566304746732502,0.0015689158798701808,-0.02938947989443541,0.8826030085022893,-0.06535124498461153,September
2024,10,0.9737795366903829,0.02522053475955875,0.05471959159607538,-21.80952380952381,0.005057064677475428,-0.01181669420908582,-0.06691771086268294,-0.006503741744675495,-0.47215673948347214,-0.09749796807366873,October
2024,11,0.9924332365073427,0.02673826024398879,0.05579938804104184,-17.736842105263158,0.004564524358011852,0.01915597844698902,0.06017816429744083,0.019733269446475576,-0.186738680763043,-0.09739648410220858,November
2024,12,0.9613290188230526,0.025889874288913962,0.05564593893931044,-8.272727272727273,0.006357225908636877,-0.031341370421807735,-0.031729287819523,-0.002750014061418282,-0.533585109252765,0.39274662812969696,December
2025,1,0.9620419398688272,0.03051511814361144,0.04593550434647013,-91.77272727272727,0.0075860353538373315,0.000741599423106587,0.17865068802894912,-0.1745039220819128,10.093406593406591,0.19329334254600017,January
2025,2,0.8578689540444152,0.020587828139085305,0.026661001248330554,-44.63157894736842,0.008673743491989037,-0.10828320627956811,-0.325323662776134,-0.4195992483888056,-0.5136727405437814,0.14338295135963186,February
2025,3,0.7848807625123414,0.006402668985647555,0.010354614823168636,-6.363636363636363,0.0025232682489826183,-0.08508081705017023,-0.6890070704693565,-0.6116194314413823,-0.8574185248713551,-0.7090912071226134,March
2025,4,0.9156849828205327,0.0038784042990868996,0.008255053531560039,-0.6086956521739131,0.0017180598523669826,0.16665489403702205,-0.3942519427787279,-0.2027657549280144,-0.9043478260869565,-0.31911327578441007,April
2025,5,0.9596119929453262,0.004734422274009589,0.01050908900163414,0.6666666666666666,0.001836688133411172,0.047971748962713834,0.22071396092568873,0.2730491645458941,-2.095238095238095,0.06904781627994772,May
2025,6,0.8440160377876641,0.006651836245850465,0.009874674534673365,-9.294117647058824,0.001834003812119694,-0.12046114055209411,0.404994286708823,-0.060368169577983966,-14.941176470588237,-0.0014615008626928105,June
2025,7,0.7598639455782313,0.008553166924894258,0.010442627639581249,-15.523809523809524,0.0038897104775745665,-0.09970437579600067,0.28583546088192957,0.05751613411800127,0.6702833031946955,1.1208846196884075,July
2025,8,0.8433333333333334,0.006349301355779701,0.009996011166346365,-7.35,0.0023237713501780047,0.10984780662488802,-0.25766661500550603,-0.04276859126356758,-0.5265337423312884,-0.40258500894210636,August
2025,9,0.8865509564707427,0.005167966867024387,0.01079302918040331,-1.5,0.0022580292142479366,0.0512461934435684,-0.18605739790252007,0.07973360581471445,-0.7959183673469388,-0.028291137992140336,September
2025,10,0.9169191919191919,0.005174659649320733,0.010751796373501134,-3.5238095238095237,0.0017140262471234905,0.03425435980503777,0.0012950513168052957,-0.003820318301097636,1.3492063492063493,-0.24091936618527443,October
2025,11,0.8909242803979647,0.0036136548237374684,0.0077026975845393315,-1.5789473684210527,0.001911563713504642,-0.028350275302687966,-0.30166328442261414,-0.2835897075280004,-0.5519203413940256,0.11524763212504019,November
2025,12,0.8438852813852814,0.003923013791907847,0.007275868633870414,-1.8666666666666667,0.0013964609663306266,-0.0527979762676033,0.08560833373964027,-0.055412918134763345,0.18222222222222229,-0.2694666902991326,December
